accident_id,state,city,accident_datetime,year,month,weekday,hour,weather_conditions,road_condition,road_type,vehicle_type,traffic_control_presence,junction_type,lighting_conditions,speed_limit_kmph,driver_age,driver_gender,driver_license_status,alcohol_involvement,number_of_vehicles_involved,number_of_casualties,number_of_fatalities,visibility_km,temperature_c,latitude,longitude,severity,hour_of_day,rush_hour,weekend,night_time,weather_category,visibility_risk,casualty_rate,fatality_flag
IND-ACC-00001,Gujarat,Surat,2023-06-03 06:41:00,2023,June,Saturday,6,Heat,Damaged,Intersection,Car,Stop Sign,Roundabout,Daylight,50,24.0,Male,Expired,Yes,2,1,0,8.34,29.8,21.24355,72.82183,Minor,6,0,1,0,Normal,Low,0.5,0
IND-ACC-00002,Gujarat,Vadodara,2021-03-14 07:02:00,2021,March,Sunday,7,Fog,Damaged,Rural Road,Two-Wheeler,Stop Sign,Non-Junction,Daylight,40,41.0,Male,Valid,No,2,1,0,2.43,25.5,22.32032,73.23349,Minor,7,1,1,0,Adverse,Critical,0.5,0
IND-ACC-00003,Maharashtra,Nagpur,2018-03-22 16:47:00,2018,March,Thursday,16,Fog,Damaged,Highway,Two-Wheeler,Signal Present,Cross Junction,Daylight,80,35.0,Male,Valid,No,2,2,0,1.72,26.2,21.06926,79.0202,Serious,16,0,0,0,Adverse,Critical,1.0,0
IND-ACC-00004,Maharashtra,Nagpur,2020-04-12 15:39:00,2020,April,Sunday,15,Cloudy,Wet,Highway,Bus,Signal Present,Non-Junction,Daylight,40,34.0,Male,Valid,No,1,2,0,7.9,30.6,21.04456,79.00137,Minor,15,0,1,0,Normal,Moderate,2.0,0
IND-ACC-00005,Maharashtra,Pune,2023-12-14 08:41:00,2023,December,Thursday,8,Heat,Damaged,Intersection,Two-Wheeler,Signal Present,Roundabout,Daylight,40,36.0,Male,Valid,No,1,2,0,6.65,28.4,18.61651,73.84234,Minor,8,1,0,0,Normal,Moderate,2.0,0
IND-ACC-00006,Maharashtra,Nagpur,2018-05-05 09:29:00,2018,May,Saturday,9,Clear,Dry,Residential,Car,Roundabout,Non-Junction,Street Lights,100,22.0,Male,Valid,Yes,3,1,0,10.69,43.0,21.01788,79.10426,Minor,9,1,1,0,Normal,Low,0.33,0
IND-ACC-00007,Karnataka,Mysuru,2020-07-08 18:01:00,2020,July,Wednesday,18,Storm,Dry,Residential,Car,Uncontrolled,Cross Junction,Daylight,30,28.0,Male,Valid,Yes,2,1,0,5.53,23.9,12.35169,76.6625,Minor,18,1,0,0,Adverse,Moderate,0.5,0
IND-ACC-00008,Delhi,Rohini,2023-04-05 04:09:00,2023,April,Wednesday,4,Clear,Slippery,Rural Road,Truck,Roundabout,T-Junction,No Lighting,60,46.0,Male,Valid,No,1,1,0,6.88,28.3,28.85292,77.04573,Minor,4,0,0,1,Normal,Moderate,1.0,0
IND-ACC-00009,Tamil Nadu,Coimbatore,2023-08-02 09:11:00,2023,August,Wednesday,9,Cloudy,Slippery,Residential,Car,Signal Present,Non-Junction,Daylight,50,24.0,Male,Valid,No,2,1,0,5.8,34.5,10.98775,76.93614,Minor,9,1,0,0,Normal,Moderate,0.5,0
IND-ACC-00010,Uttar Pradesh,Kanpur,2023-08-15 20:17:00,2023,August,Tuesday,20,Clear,Wet,Residential,Car,Signal Present,Roundabout,Daylight,80,18.0,Male,Learner,Yes,3,1,0,9.03,25.2,26.44014,80.26816,Serious,20,0,0,1,Normal,Low,0.33,0
IND-ACC-00011,Telangana,Nizamabad,2020-08-04 12:22:00,2020,August,Tuesday,12,Fog,Under Construction,Highway,Car,Signal Present,Y-Junction,Poor Lighting,60,37.0,Male,Valid,No,3,1,0,2.62,29.7,18.59001,78.07981,Serious,12,0,0,0,Adverse,High,0.33,0
IND-ACC-00012,Maharashtra,Mumbai,2018-03-12 17:35:00,2018,March,Monday,17,Clear,Dry,Residential,Auto-Rickshaw,Roundabout,Non-Junction,Daylight,60,38.0,Male,Valid,No,1,1,0,7.05,23.8,19.10481,72.77302,Minor,17,1,0,0,Normal,Moderate,1.0,0
IND-ACC-00013,Telangana,Nizamabad,2023-11-09 18:48:00,2023,November,Thursday,18,Fog,Damaged,Urban Arterial,Two-Wheeler,Uncontrolled,T-Junction,Poor Lighting,40,29.0,Male,Valid,No,2,1,0,0.77,28.3,18.60933,78.07403,Minor,18,1,0,0,Adverse,Critical,0.5,0
IND-ACC-00014,Kerala,Kozhikode,2021-11-21 14:19:00,2021,November,Sunday,14,Cloudy,Wet,Intersection,Two-Wheeler,Uncontrolled,Cross Junction,Daylight,80,34.0,Male,Valid,Yes,2,1,0,6.53,28.8,11.18848,75.7493,Minor,14,0,1,0,Normal,Moderate,0.5,0
IND-ACC-00015,Delhi,Dwarka,2022-10-26 08:56:00,2022,October,Wednesday,8,Rain,Dry,Residential,Car,Uncontrolled,T-Junction,Street Lights,80,51.0,Male,Valid,No,2,2,0,7.74,23.0,28.6429,77.01174,Minor,8,1,0,0,Adverse,Moderate,1.0,0
IND-ACC-00016,West Bengal,Durgapur,2023-05-23 08:45:00,2023,May,Tuesday,8,Clear,Dry,Urban Arterial,Car,Roundabout,Non-Junction,Daylight,100,33.0,Male,Valid,No,2,1,0,9.29,38.3,23.66006,87.29959,Minor,8,1,0,0,Normal,Low,0.5,0
IND-ACC-00017,Maharashtra,Pune,2022-08-15 12:00:00,2022,August,Monday,12,Cloudy,Dry,Highway,Two-Wheeler,Signal Present,Y-Junction,No Lighting,80,28.0,Male,Invalid,Yes,3,1,0,6.79,30.9,18.47812,73.84592,Serious,12,0,0,0,Normal,Moderate,0.33,0
IND-ACC-00018,Gujarat,Vadodara,2023-03-08 03:39:00,2023,March,Wednesday,3,Clear,Dry,Residential,Bus,Signal Present,Non-Junction,Poor Lighting,80,45.0,Male,Learner,Yes,3,3,0,4.88,33.1,22.27154,73.09237,Serious,3,0,0,1,Normal,High,1.0,0
IND-ACC-00019,Tamil Nadu,Chennai,2022-04-15 16:58:00,2022,April,Friday,16,Clear,Wet,Urban Arterial,Auto-Rickshaw,Uncontrolled,Non-Junction,Daylight,50,38.0,Male,Invalid,No,2,1,0,7.26,39.0,13.14673,80.25081,Minor,16,0,0,0,Normal,Moderate,0.5,0
IND-ACC-00020,Kerala,Kochi,2021-02-19 13:24:00,2021,February,Friday,13,Clear,Dry,Highway,Two-Wheeler,Stop Sign,Cross Junction,Street Lights,40,18.0,Male,Valid,Yes,2,2,0,5.88,32.4,9.95206,76.24288,Serious,13,0,0,0,Normal,Moderate,1.0,0
IND-ACC-00021,West Bengal,Howrah,2020-08-07 15:47:00,2020,August,Friday,15,Clear,Wet,Highway,Two-Wheeler,Uncontrolled,Roundabout,Poor Lighting,80,38.0,Male,Valid,No,3,1,0,7.79,32.5,22.57863,88.29084,Serious,15,0,0,0,Normal,Moderate,0.33,0
IND-ACC-00022,Tamil Nadu,Madurai,2022-04-25 18:00:00,2022,April,Monday,18,Cloudy,Dry,Urban Arterial,Two-Wheeler,Signal Present,Roundabout,Daylight,40,39.0,Female,Valid,No,3,1,0,6.71,33.7,9.9653,78.0785,Minor,18,1,0,0,Normal,Moderate,0.33,0
IND-ACC-00023,Gujarat,Vadodara,2021-12-06 23:50:00,2021,December,Monday,23,Clear,Dry,Highway,Car,Police Managed,T-Junction,Daylight,80,38.0,Male,Valid,No,2,1,0,5.37,27.4,22.20601,73.13163,Minor,23,0,0,1,Normal,Moderate,0.5,0
IND-ACC-00024,West Bengal,Howrah,2022-08-22 04:45:00,2022,August,Monday,4,Clear,Dry,Highway,Bus,Uncontrolled,Y-Junction,Poor Lighting,60,22.0,Male,Learner,No,2,3,0,5.42,26.6,22.59887,88.21767,Minor,4,0,0,1,Normal,Moderate,1.5,0
IND-ACC-00025,Karnataka,Bengaluru,2018-03-17 12:55:00,2018,March,Saturday,12,Clear,Wet,Urban Arterial,Two-Wheeler,Uncontrolled,Roundabout,Street Lights,80,37.0,Male,Valid,No,3,3,0,5.88,22.9,12.901,77.54435,Serious,12,0,1,0,Normal,Moderate,1.0,0
